session_id,event_type,created_at,browser,traffic_source
00007c70-ebd4-4d2b-8e6d-d9149465ee26,product,2021-05-23 04:03:00.000000 UTC,Other,Organic
000e0afb-757e-4237-a8cc-6d40c23f6c79,department,2019-09-12 17:47:00.000000 UTC,Chrome,Adwords
000e0afb-757e-4237-a8cc-6d40c23f6c79,product,2019-09-12 18:08:00.000000 UTC,Chrome,Adwords
000e0afb-757e-4237-a8cc-6d40c23f6c79,cart,2019-09-12 18:36:00.000000 UTC,Chrome,Adwords
0018f263-8c98-49f2-9ad9-ffe91b1f7625,product,2022-02-10 12:12:00.000000 UTC,Chrome,Adwords
0031b4e8-ac03-416d-aa34-320bd7dc4563,product,2023-02-16 04:03:00.000000 UTC,Chrome,Adwords
0031b4e8-ac03-416d-aa34-320bd7dc4563,cart,2023-02-16 04:29:00.000000 UTC,Chrome,Adwords
0031b4e8-ac03-416d-aa34-320bd7dc4563,cancel,2023-02-16 04:30:00.000000 UTC,Chrome,Adwords
004e6e78-1f73-49bc-941e-747d6d296329,department,2023-06-10 03:50:00.000000 UTC,Chrome,Email
004e6e78-1f73-49bc-941e-747d6d296329,product,2023-06-10 04:13:00.000000 UTC,Chrome,Email
004e6e78-1f73-49bc-941e-747d6d296329,cart,2023-06-10 04:27:00.000000 UTC,Chrome,Email
005d94cb-ff71-47ad-ad88-22480fb3961d,product,2019-08-04 09:57:00.000000 UTC,Chrome,Adwords
0066f015-f6a1-40a6-a5e0-ff74b0d5ef44,product,2019-08-31 01:41:00.000000 UTC,Firefox,Adwords
006e9c8d-4257-4b42-a5a3-38839d897f26,product,2019-01-05 01:58:00.000000 UTC,Safari,Adwords
008a06e1-47e6-4de1-8d59-9f0798119f3a,home,2024-10-19 21:15:46.000000 UTC,Chrome,Adwords
008a06e1-47e6-4de1-8d59-9f0798119f3a,department,2024-10-19 21:17:57.000000 UTC,Chrome,Adwords
008a06e1-47e6-4de1-8d59-9f0798119f3a,product,2024-10-19 21:20:24.000000 UTC,Chrome,Adwords
008a06e1-47e6-4de1-8d59-9f0798119f3a,cart,2024-10-19 21:20:25.000000 UTC,Chrome,Adwords
008a06e1-47e6-4de1-8d59-9f0798119f3a,purchase,2024-10-19 21:22:03.000000 UTC,Chrome,Adwords
0090ac37-0259-46d1-9004-f560d9ec7ab4,department,2023-01-13 13:57:58.000000 UTC,Safari,Adwords
0090ac37-0259-46d1-9004-f560d9ec7ab4,product,2023-01-13 13:59:21.000000 UTC,Safari,Adwords
0090ac37-0259-46d1-9004-f560d9ec7ab4,cart,2023-01-13 14:00:05.000000 UTC,Safari,Adwords
0090ac37-0259-46d1-9004-f560d9ec7ab4,department,2023-01-13 14:03:01.000000 UTC,Safari,Adwords
0090ac37-0259-46d1-9004-f560d9ec7ab4,product,2023-01-13 14:03:55.000000 UTC,Safari,Adwords
0090ac37-0259-46d1-9004-f560d9ec7ab4,cart,2023-01-13 14:05:06.000000 UTC,Safari,Adwords
0090ac37-0259-46d1-9004-f560d9ec7ab4,department,2023-01-13 14:06:06.000000 UTC,Safari,Adwords
0090ac37-0259-46d1-9004-f560d9ec7ab4,product,2023-01-13 14:07:44.000000 UTC,Safari,Adwords
0090ac37-0259-46d1-9004-f560d9ec7ab4,cart,2023-01-13 14:10:21.000000 UTC,Safari,Adwords
0090ac37-0259-46d1-9004-f560d9ec7ab4,department,2023-01-13 14:12:38.000000 UTC,Safari,Adwords
0090ac37-0259-46d1-9004-f560d9ec7ab4,product,2023-01-13 14:13:52.000000 UTC,Safari,Adwords
0090ac37-0259-46d1-9004-f560d9ec7ab4,cart,2023-01-13 14:16:14.000000 UTC,Safari,Adwords
0090ac37-0259-46d1-9004-f560d9ec7ab4,purchase,2023-01-14 14:18:00.000000 UTC,Safari,Adwords
00b8d188-3fa2-4c34-84c6-ff9d34d11436,product,2021-04-05 12:45:00.000000 UTC,Chrome,Email
00df37e9-86dc-4b8f-8285-35a73c27d0d3,product,2024-01-05 05:36:00.000000 UTC,Chrome,Facebook
010132b9-f8cb-4470-8dff-cfeef8a8ea7b,department,2020-04-21 06:05:00.000000 UTC,Chrome,Email
010132b9-f8cb-4470-8dff-cfeef8a8ea7b,product,2020-04-21 06:21:00.000000 UTC,Chrome,Email
0104bbe6-c888-485c-85ed-80fe638b500a,home,2024-04-17 04:50:37.000000 UTC,Safari,Facebook
0104bbe6-c888-485c-85ed-80fe638b500a,department,2024-04-17 04:50:52.000000 UTC,Safari,Facebook
0104bbe6-c888-485c-85ed-80fe638b500a,product,2024-04-17 04:51:31.000000 UTC,Safari,Facebook
0104bbe6-c888-485c-85ed-80fe638b500a,cart,2024-04-17 04:53:17.000000 UTC,Safari,Facebook
0104bbe6-c888-485c-85ed-80fe638b500a,purchase,2024-04-17 04:55:16.000000 UTC,Safari,Facebook
01462121-bf13-4016-9c27-f7763cc88c6e,department,2019-03-21 08:39:00.000000 UTC,Safari,Email
01462121-bf13-4016-9c27-f7763cc88c6e,product,2019-03-21 09:00:00.000000 UTC,Safari,Email
01462121-bf13-4016-9c27-f7763cc88c6e,cart,2019-03-21 09:18:00.000000 UTC,Safari,Email
014a0ca6-bde7-4654-aed4-c6b70f3964dc,department,2020-09-21 16:03:00.000000 UTC,Chrome,Adwords
014a0ca6-bde7-4654-aed4-c6b70f3964dc,product,2020-09-21 16:15:00.000000 UTC,Chrome,Adwords
014a0ca6-bde7-4654-aed4-c6b70f3964dc,cart,2020-09-21 16:41:00.000000 UTC,Chrome,Adwords
014f97a9-10f8-4385-a409-ae7c5da8eccc,department,2025-11-27 14:32:45.000000 UTC,Safari,YouTube
014f97a9-10f8-4385-a409-ae7c5da8eccc,product,2025-11-27 14:35:42.000000 UTC,Safari,YouTube
014f97a9-10f8-4385-a409-ae7c5da8eccc,cart,2025-11-27 14:37:04.000000 UTC,Safari,YouTube
014f97a9-10f8-4385-a409-ae7c5da8eccc,department,2025-11-27 14:38:22.000000 UTC,Safari,YouTube
014f97a9-10f8-4385-a409-ae7c5da8eccc,product,2025-11-27 14:40:16.000000 UTC,Safari,YouTube
014f97a9-10f8-4385-a409-ae7c5da8eccc,cart,2025-11-27 14:42:41.000000 UTC,Safari,YouTube
014f97a9-10f8-4385-a409-ae7c5da8eccc,purchase,2025-12-01 14:44:54.000000 UTC,Safari,YouTube
0156743b-fa6c-487e-8752-e92a0dd2d99e,department,2019-10-10 14:10:00.000000 UTC,IE,Organic
0156743b-fa6c-487e-8752-e92a0dd2d99e,product,2019-10-10 14:32:00.000000 UTC,IE,Organic
0157e8e9-d23e-415e-9118-99467be41b63,department,2021-07-14 07:15:19.000000 UTC,Other,Email
0157e8e9-d23e-415e-9118-99467be41b63,product,2021-07-14 07:17:37.000000 UTC,Other,Email
0157e8e9-d23e-415e-9118-99467be41b63,cart,2021-07-14 07:19:11.000000 UTC,Other,Email
0157e8e9-d23e-415e-9118-99467be41b63,department,2021-07-14 07:19:25.000000 UTC,Other,Email
0157e8e9-d23e-415e-9118-99467be41b63,product,2021-07-14 07:20:30.000000 UTC,Other,Email
0157e8e9-d23e-415e-9118-99467be41b63,cart,2021-07-14 07:22:05.000000 UTC,Other,Email
0157e8e9-d23e-415e-9118-99467be41b63,department,2021-07-14 07:24:46.000000 UTC,Other,Email
0157e8e9-d23e-415e-9118-99467be41b63,product,2021-07-14 07:27:10.000000 UTC,Other,Email
0157e8e9-d23e-415e-9118-99467be41b63,cart,2021-07-14 07:28:49.000000 UTC,Other,Email
0157e8e9-d23e-415e-9118-99467be41b63,purchase,2021-07-14 07:31:45.000000 UTC,Other,Email
015aecba-0be7-4d9e-aa49-748cb930609f,department,2021-12-07 02:30:00.000000 UTC,Chrome,Email
015aecba-0be7-4d9e-aa49-748cb930609f,product,2021-12-07 02:30:00.000000 UTC,Chrome,Email
0166811e-8ade-4a4a-a79c-f83629b1888d,product,2025-07-11 14:00:00.000000 UTC,Firefox,Email
01847c55-cdda-421b-845d-1c24c6959760,department,2022-07-16 00:42:00.000000 UTC,Chrome,YouTube
01847c55-cdda-421b-845d-1c24c6959760,product,2022-07-16 01:00:00.000000 UTC,Chrome,YouTube
01847c55-cdda-421b-845d-1c24c6959760,cart,2022-07-16 01:13:00.000000 UTC,Chrome,YouTube
01a4cab9-e773-46b6-8e15-141bec607645,department,2024-07-01 11:27:00.000000 UTC,Chrome,Email
01a4cab9-e773-46b6-8e15-141bec607645,product,2024-07-01 11:37:00.000000 UTC,Chrome,Email
01baa55f-41ce-444b-91d5-b006885214db,home,2025-03-04 14:15:06.000000 UTC,Firefox,Adwords
01baa55f-41ce-444b-91d5-b006885214db,department,2025-03-04 14:16:42.000000 UTC,Firefox,Adwords
01baa55f-41ce-444b-91d5-b006885214db,product,2025-03-04 14:17:35.000000 UTC,Firefox,Adwords
01baa55f-41ce-444b-91d5-b006885214db,cart,2025-03-04 14:19:53.000000 UTC,Firefox,Adwords
01baa55f-41ce-444b-91d5-b006885214db,purchase,2025-03-04 14:21:07.000000 UTC,Firefox,Adwords
